L 353, 1084, 260,  353, 1084, 260,  0, 0, 0
L 353, 1084, 260,  152, 843, 639,  0, 0, 0
L 152, 843, 639,  150, 568, 257,  0, 0, 0
L 150, 568, 257,  33, 224, 208,  0, 0, 0
L 33, 224, 208,  67, 86, 14,  0, 0, 0
L 67, 86, 14,  77, -60, -32,  0, 0, 0
L 77, -60, -32,  81, -128, 106,  0, 0, 0
L 81, -128, 106,  125, -126, 29,  0, 0, 0
L 125, -126, 29,  166, -63, 128,  0, 0, 0
L 166, -63, 128,  286, -55, 236,  0, 0, 0
L 286, -55, 236,  358, -51, 177,  0, 0, 0
L 358, -51, 177,  418, -48, -41,  0, 0, 0
L 418, -48, -41,  500, 28, 40,  0, 0, 0
L 500, 28, 40,  727, 56, 283,  0, 0, 0
L 727, 56, 283,  868, 1, 39,  0, 0, 0
L 868, 1, 39,  983, -39, -33,  0, 0, 0
L 983, -39, -33,  1196, -49, 112,  0, 0, 0
L 1196, -49, 112,  1256, -79, 53,  0, 0, 0
L 1256, -79, 53,  1315, -136, 18,  0, 0, 0
L 1315, -136, 18,  1495, -184, 33,  0, 0, 0
L 1495, -184, 33,  1542, -250, 18,  0, 0, 0
L 1542, -250, 18,  1647, -275, -36,  0, 0, 0
L 1647, -275, -36,  1749, -379, 260,  0, 0, 0
L 1749, -379, 260,  1786, -450, 123,  0, 0, 0
L 1786, -450, 123,  1828, -538, 31,  0, 0, 0
L 1828, -538, 31,  1820, -603, 110,  0, 0, 0
L 1820, -603, 110,  1869, -848, 56,  0, 0, 0
L 1869, -848, 56,  1850, -852, 33,  0, 0, 0
L 1850, -852, 33,  1848, -907, 47,  0, 0, 0
L 1848, -907, 47,  1831, -906, 47,  0, 0, 0
L 1831, -906, 47,  1831, -856, 37,  0, 0, 0
L 1831, -856, 37,  1815, -845, 33,  0, 0, 0
L 1815, -845, 33,  1787, -793, 34,  0, 0, 0
L 1787, -793, 34,  1756, -765, 32,  0, 0, 0
L 1756, -765, 32,  1610, -685, 35,  0, 0, 0
L 1610, -685, 35,  1522, -662, 148,  0, 0, 0
L 1522, -662, 148,  1443, -681, 103,  0, 0, 0
L 1443, -681, 103,  1424, -713, 133,  0, 0, 0
L 1424, -713, 133,  1372, -727, 104,  0, 0, 0
L 1372, -727, 104,  1284, -712, 270,  0, 0, 0
L 1284, -712, 270,  1177, -686, 64,  0, 0, 0
L 1177, -686, 64,  1250, -789, -45,  0, 0, 0
L 1250, -789, -45,  1259, -863, -44,  0, 0, 0
L 1259, -863, -44,  1235, -967, 209,  0, 0, 0
L 1235, -967, 209,  1235, -1043, 96,  0, 0, 0
L 1235, -1043, 96,  1225, -1176, 279,  0, 0, 0
L 1225, -1176, 279,  1149, -1195, 123,  0, 0, 0
L 1149, -1195, 123,  1112, -1192, 81,  0, 0, 0
L 1112, -1192, 81,  1060, -1145, 33,  0, 0, 0
L 1060, -1145, 33,  1048, -1120, -33,  0, 0, 0
L 1048, -1120, -33,  1021, -1093, 67,  0, 0, 0
L 1021, -1093, 67,  962, -1078, 168,  0, 0, 0
L 962, -1078, 168,  922, -1083, 200,  0, 0, 0
L 922, -1083, 200,  869, -1088, 191,  0, 0, 0
L 869, -1088, 191,  817, -1099, 125,  0, 0, 0
L 817, -1099, 125,  788, -1159, 4,  0, 0, 0
L 788, -1159, 4,  748, -1179, -17,  0, 0, 0
L 748, -1179, -17,  701, -1209, 24,  0, 0, 0
L 701, -1209, 24,  668, -1229, 9,  0, 0, 0
L 668, -1229, 9,  624, -1265, 33,  0, 0, 0
L 624, -1265, 33,  595, -1294, -26,  0, 0, 0
L 595, -1294, -26,  572, -1320, 71,  0, 0, 0
L 572, -1320, 71,  532, -1306, 195,  0, 0, 0
L 532, -1306, 195,  510, -1250, 222,  0, 0, 0
L 510, -1250, 222,  569, -1196, 138,  0, 0, 0
L 569, -1196, 138,  544, -1130, 33,  0, 0, 0
L 544, -1130, 33,  481, -1102, 67,  0, 0, 0
L 481, -1102, 67,  400, -1126, 53,  0, 0, 0
L 400, -1126, 53,  383, -1178, 279,  0, 0, 0
L 383, -1178, 279,  255, -1185, 14,  0, 0, 0
L 255, -1185, 14,  172, -1236, -14,  0, 0, 0
L 172, -1236, -14,  126, -1246, 28,  0, 0, 0
L 126, -1246, 28,  86, -1228, 48,  0, 0, 0
L 86, -1228, 48,  62, -1194, 65,  0, 0, 0
L 62, -1194, 65,  70, -1186, 66,  0, 0, 0
L 70, -1186, 66,  87, -1056, 137,  0, 0, 0
L 87, -1056, 137,  70, -1022, 109,  0, 0, 0
L 70, -1022, 109,  51, -990, 75,  0, 0, 0
L 51, -990, 75,  -5, -993, -6,  0, 0, 0
L -5, -993, -6,  -24, -1013, 43,  0, 0, 0
L -24, -1013, 43,  -130, -1030, 123,  0, 0, 0
L -130, -1030, 123,  -164, -1015, 45,  0, 0, 0
L -164, -1015, 45,  -194, -998, 48,  0, 0, 0
L -194, -998, 48,  -231, -975, 83,  0, 0, 0
L -231, -975, 83,  -276, -969, 73,  0, 0, 0
L -276, -969, 73,  -394, -966, 70,  0, 0, 0
L -394, -966, 70,  -487, -1022, 81,  0, 0, 0
