L 99, -68, 33,  99, -68, 33,  0, 0, 0
L 99, -68, 33,  98, 0, 31,  0, 0, 0
L 98, 0, 31,  66, 2, 33,  0, 0, 0
L 66, 2, 33,  67, -26, 87,  0, 0, 0
L 67, -26, 87,  52, -27, 33,  0, 0, 0
L 52, -27, 33,  52, -45, 32,  0, 0, 0
L 52, -45, 32,  58, -45, 33,  0, 0, 0
L 67, -52, 33,  67, -52, 33,  0, 0, 0
L 67, -52, 33,  31, -52, 86,  0, 0, 0
L 31, -52, 86,  31, -20, 63,  0, 0, 0
L 31, -20, 63,  46, -17, 31,  0, 0, 0
L 46, -17, 31,  48, 2, 33,  0, 0, 0
L 48, 2, 33,  38, 2, 23,  0, 0, 0
L 38, 2, 23,  39, -12, 120,  0, 0, 0
L 39, -12, 120,  26, -13, 33,  0, 0, 0
L 26, -13, 33,  26, -57, 32,  0, 0, 0
L 26, -57, 32,  51, -58, 69,  0, 0, 0
L 51, -58, 69,  39, -70, 51,  0, 0, 0
L 39, -70, 51,  40, -85, 33,  0, 0, 0
L 40, -85, 33,  54, -99, 33,  0, 0, 0
L 54, -99, 33,  68, -100, 31,  0, 0, 0
L 68, -100, 31,  109, -141, 32,  0, 0, 0
L 109, -141, 32,  110, -155, 32,  0, 0, 0
L 110, -155, 32,  123, -169, 33,  0, 0, 0
L 123, -169, 33,  123, -195, 32,  0, 0, 0
L 123, -195, 32,  110, -208, 31,  0, 0, 0
L 110, -208, 31,  96, -209, 34,  0, 0, 0
L 96, -209, 34,  81, -224, 31,  0, 0, 0
L 81, -224, 31,  96, -239, 31,  0, 0, 0
L 96, -239, 31,  110, -239, 33,  0, 0, 0
L 99, 95, 34,  99, 95, 33,  0, 0, 0
L 99, 95, 33,  98, 26, 31,  0, 0, 0
L 98, 26, 31,  66, 24, 31,  0, 0, 0
L 66, 24, 31,  67, 53, 31,  0, 0, 0
L 67, 53, 31,  52, 54, 31,  0, 0, 0
L 52, 54, 31,  52, 72, 33,  0, 0, 0
L 52, 72, 33,  58, 72, 33,  0, 0, 0
L 67, 79, 33,  67, 79, 32,  0, 0, 0
L 67, 79, 32,  31, 79, 33,  0, 0, 0
L 31, 79, 33,  31, 45, 31,  0, 0, 0
L 31, 45, 31,  46, 44, 31,  0, 0, 0
L 46, 44, 31,  48, 24, 31,  0, 0, 0
L 48, 24, 31,  38, 24, 31,  0, 0, 0
L 38, 24, 31,  39, 39, 104,  0, 0, 0
L 39, 39, 104,  26, 40, 33,  0, 0, 0
L 26, 40, 33,  26, 84, 32,  0, 0, 0
L 26, 84, 32,  51, 85, 50,  0, 0, 0
L 51, 85, 50,  39, 97, 31,  0, 0, 0
L 39, 97, 31,  40, 112, 34,  0, 0, 0
L 40, 112, 34,  54, 126, 33,  0, 0, 0
L 54, 126, 33,  68, 127, 33,  0, 0, 0
L 68, 127, 33,  109, 174, 31,  0, 0, 0
L 109, 174, 31,  110, 196, 33,  0, 0, 0
L 110, 196, 33,  124, 210, 32,  0, 0, 0
L 124, 210, 32,  152, 210, 31,  0, 0, 0
L 152, 210, 31,  165, 224, 31,  0, 0, 0
L 165, 224, 31,  165, 264, 32,  0, 0, 0
L 165, 264, 32,  151, 279, 32,  0, 0, 0
L 151, 279, 32,  166, 308, 31,  0, 0, 0
L 166, 308, 31,  194, 308, 118,  0, 0, 0
L 194, 308, 118,  207, 322, 31,  0, 0, 0
L 207, 322, 31,  207, 362, 33,  0, 0, 0
L 207, 362, 33,  194, 375, 34,  0, 0, 0
L 194, 375, 34,  168, 375, 31,  0, 0, 0
L 168, 375, 31,  155, 362, 33,  0, 0, 0
L 155, 362, 33,  155, 347, 33,  0, 0, 0
L 155, 347, 33,  140, 347, 84,  0, 0, 0
L 140, 347, 84,  142, 334, 32,  0, 0, 0
L 142, 334, 32,  136, 334, 34,  0, 0, 0
